Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999,Rk_misc,Pos_misc,Age_misc,Born_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,-9999_misc,fouls_per_90,start_ratio,group
73,Oswin Appollis,MFFW,za South Africa,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8933eb0,73,MFFW,24,2001,2.8,0,0,0,1,2,0,8,1,3,,,0,Matches,e8933eb0,0.35714285714285715,0.75,Starter
74,Yazan Al-Arab,DF,jo Jordan,30,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,32878a09,74,DF,30,1996,3.0,1,0,0,4,0,0,0,11,1,,,1,Matches,32878a09,1.3333333333333333,1.0,Starter
75,Maxi Araújo,FWMF,uy Uruguay,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches,f9ab3f4a,75,FWMF,26,2000,2.8,0,0,0,2,7,6,18,0,0,,,0,Matches,f9ab3f4a,0.7142857142857143,1.0,Starter
76,Tomás Araújo,DF,pt Portugal,24,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0fa11d7d,76,DF,24,2002,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,0fa11d7d,1.0,1.0,Starter
79,Carlens Arcus,MFDF,ht Haiti,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e837126,79,MFDF,29,1996,1.6,1,0,0,5,3,2,2,3,3,,,0,Matches,5e837126,3.125,0.6666666666666666,Starter
81,Jhon Arias,MF,co Colombia,28,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,86d96066,81,MF,28,1997,4.2,1,0,0,5,2,0,5,2,9,,,0,Matches,86d96066,1.1904761904761905,1.0,Starter
82,Santiago Arias,DF,co Colombia,34,1.ar Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd60087,82,DF,34,1992,1.0,0,0,0,1,0,0,2,1,2,,,0,Matches,fdd60087,1.0,1.0,Starter
83,Marko Arnautović,FW,at Austria,37,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.00,1.25,0.62,0.62,Matches,00459419,83,FW,37,1989,1.6,1,0,0,3,1,5,0,0,0,,,0,Matches,00459419,1.875,0.25,Non-Starter
84,Benjamin Asare,GK,gh Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4bb65492,84,GK,33,1992,2.5,0,0,0,0,1,0,0,0,0,,,0,Matches,4bb65492,0.0,0.6666666666666666,Starter
85,Emam Ashour,MF,eg Egypt,28,1.eg Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,31b7d437,85,MF,28,1998,4.0,0,0,0,2,13,0,4,4,2,,,0,Matches,31b7d437,0.5,1.0,Starter
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a0ecd397,86,DF,29,1996,2.8,0,0,0,1,0,0,0,7,2,,,0,Matches,a0ecd397,0.35714285714285715,1.0,Starter
87,Lawrence Ati-Zigi,GK,gh Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a12402c3,87,GK,29,1996,1.5,0,0,0,0,1,0,0,0,0,,,0,Matches,a12402c3,0.0,1.0,Starter
88,Marwan Attia,MF,eg Egypt,27,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,1ea3d7ec,88,MF,27,1998,4.8,2,0,0,8,1,0,11,3,3,,,0,Matches,1ea3d7ec,1.6666666666666667,0.8,Starter
89,Fredrik Aursnes,MFDF,no Norway,30,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0677ed7,89,MFDF,30,1995,3.4,0,0,0,5,3,0,5,1,8,,,0,Matches,f0677ed7,1.4705882352941178,0.5,Starter
90,Gabriel Ávalos,FW,py Paraguay,35,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6781b67,90,FW,35,1990,1.6,0,0,0,1,2,0,0,0,2,,,0,Matches,b6781b67,0.625,0.5,Starter
91,Yasin Ayari,MF,se Sweden,22,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches,f173303a,91,MF,22,2003,3.8,1,0,0,4,8,0,19,3,4,,,0,Matches,f173303a,1.0526315789473684,1.0,Starter
92,Oğuz Aydın,DF,tr Türkiye,25,1.tr Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a7b98226,92,DF,25,2000,1.0,0,0,0,0,2,0,3,0,6,,,0,Matches,a7b98226,0.0,1.0,Starter
93,Jordan Ayew,FW,gh Ghana,34,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da052c14,93,FW,34,1991,3.3,0,0,0,7,7,1,10,1,3,,,0,Matches,da052c14,2.121212121212121,1.0,Starter
95,Neil El Aynaoui,MF,ma Morocco,24,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17e1261b,95,MF,24,2001,6.2,0,0,0,15,7,0,0,8,9,,,0,Matches,17e1261b,2.4193548387096775,1.0,Starter
97,Juninho Bacuna,MF,cw Curaçao,28,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,aaf1bf05,97,MF,28,1997,2.8,2,0,0,6,3,0,5,5,4,,,0,Matches,aaf1bf05,2.142857142857143,1.0,Starter
98,Leandro Bacuna,MF,cw Curaçao,34,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9dc69d38,98,MF,34,1991,3.0,1,0,0,3,3,0,4,0,3,,,0,Matches,9dc69d38,1.0,1.0,Starter
99,Álex Baena,MFFW,es Spain,24,1.es Atlético Madrid,2001,7,7,481,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches,518f2234,99,MFFW,24,2001,5.3,1,0,0,13,7,2,41,2,5,,,0,Matches,518f2234,2.452830188679245,1.0,Starter
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dff24174,100,MF,21,2005,2.6,0,0,0,1,2,0,8,3,0,,,0,Matches,dff24174,0.3846153846153846,0.5,Starter
101,Cédric Bakambu,FW,cd Congo DR,35,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0af4dcf0,101,FW,35,1991,2.1,0,0,0,2,1,4,1,0,0,,,0,Matches,0af4dcf0,0.9523809523809523,1.0,Starter
103,Folarin Balogun,FW,us USA,24,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.00,0.87,0.87,0.87,Matches,31822f8c,103,FW,24,2001,3.5,1,1,0,3,8,3,0,1,0,,,0,Matches,31822f8c,0.8571428571428571,1.0,Starter
105,Yoel Bárcenas,MF,pa Panama,32,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b39849eb,105,MF,32,1993,2.8,1,0,0,3,3,0,7,2,0,,,0,Matches,b39849eb,1.0714285714285714,1.0,Starter
107,Bradley Barcola,MF,fr France,23,1.fr PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.70,0.23,0.94,0.70,0.94,Matches,a0d55a09,107,MF,23,2002,4.3,1,0,0,5,1,1,3,1,4,,,0,Matches,a0d55a09,1.1627906976744187,0.5,Starter
